account_length,international_plan,voice_mail_plan,number_vmail_messages,total_charge,total_calls_cnt,total_minutes,total_intl_charge,number_customer_service_calls,churn
120,no,yes,39,64.2,281,674.5,2.84,0,no
157,no,yes,28,54.3,320,497.8,1.84,3,no
103,no,no,0,67.55,227,642.5,3.16,1,no
117,yes,no,0,54.72,305,594.0,3.81,2,yes
121,no,no,0,56.69,322,561.5,2.3,1,no
145,no,yes,43,70.5,278,706.6999999999999,3.0,2,no
113,no,no,0,59.52,291,587.5,2.86,1,no
117,no,no,0,48.51,315,608.5,2.73,1,no
65,no,no,0,55.57000000000001,319,572.8,2.03,1,no
56,no,no,0,65.86000000000001,372,615.0,1.86,1,no
96,no,no,0,68.81,248,675.9,3.11,5,no
151,no,no,0,67.17999999999999,355,736.7,2.65,0,no
83,no,no,0,83.62,350,718.6999999999999,4.27,0,yes
139,no,yes,23,59.45,337,663.8,3.7,0,no
6,no,no,0,61.07,268,618.9,2.75,1,no
115,no,yes,24,47.17,367,490.3,2.59,1,no
141,no,no,0,68.85,324,712.1,3.24,0,no
62,no,no,0,38.97,307,470.9,3.29,1,no
185,no,yes,31,58.07000000000001,385,617.9000000000001,2.03,1,no
148,no,no,0,66.77000000000001,320,706.5,2.94,1,no
94,no,yes,38,50.120000000000005,313,469.29999999999995,3.46,1,no
32,no,no,0,62.11,230,572.3,1.7,0,no
68,no,no,0,63.690000000000005,289,558.0,3.56,1,no
25,no,no,0,50.36000000000001,274,599.7,2.84,3,no
65,no,no,0,43.28,330,478.1,3.81,1,no
179,no,no,0,60.96999999999999,321,613.3,1.65,0,no
94,no,no,0,65.0,335,592.5,3.0,2,no
62,no,no,0,49.97,313,532.7,3.29,0,no
116,no,no,0,55.36,281,575.6,4.37,3,no
70,no,no,0,73.36,346,725.5999999999999,0.0,3,no
94,yes,yes,23,64.44,364,693.8,2.57,4,no
126,no,no,0,27.84,303,333.7,3.21,5,yes
67,no,yes,36,47.49999999999999,308,523.1999999999999,2.67,2,no
19,no,no,0,62.89000000000001,282,654.4,3.94,2,no
170,yes,no,0,71.05999999999999,311,639.3,2.27,3,no
73,no,no,0,70.1,372,724.0,2.92,1,no
106,no,no,0,41.38,316,421.5,2.75,1,no
93,no,no,0,69.15,300,578.3,2.94,2,no
51,no,no,0,65.84,311,651.0,2.46,1,no
130,no,no,0,48.49,282,505.6,2.57,1,no
80,no,no,0,61.629999999999995,270,613.2,2.38,2,no
94,no,no,0,47.4,337,490.7,3.62,0,no
118,no,yes,23,68.74,251,575.2,2.57,1,no
117,no,yes,23,56.85,264,555.6,1.84,1,no
78,no,no,0,52.709999999999994,360,593.4,2.62,0,no
208,no,no,0,78.68,282,684.5,2.89,2,yes
131,yes,yes,26,78.24999999999999,325,747.9,3.73,4,yes
63,no,no,0,40.22,259,505.7,3.51,0,no
53,no,yes,24,54.76,378,616.1,3.54,3,no
62,no,no,0,69.92,325,755.5,3.02,2,no
97,no,no,0,63.52,290,642.5,1.73,3,no
105,no,no,0,48.839999999999996,243,536.2,1.84,2,no
157,no,no,0,56.760000000000005,278,608.3,2.54,1,no
66,no,yes,36,44.54,270,506.9,3.27,1,no
122,no,no,0,56.67,254,507.50000000000006,3.7,2,no
38,no,no,0,58.97,279,604.4000000000001,2.92,3,no
106,no,no,0,60.97,289,625.9000000000001,3.29,3,no
99,no,no,0,68.06,290,690.0,4.27,3,no
99,no,no,0,62.69,279,584.9,3.13,1,no
144,yes,no,0,64.39,297,645.4000000000001,3.21,0,no
93,no,no,0,55.79,322,583.0999999999999,3.11,3,no
120,no,no,0,61.599999999999994,253,669.5999999999999,1.27,3,no
106,no,no,0,55.76,326,521.8,1.92,0,no
81,no,no,0,53.730000000000004,313,548.4,3.29,3,no
127,no,yes,22,54.06999999999999,285,585.4,2.75,1,no
65,no,no,0,56.25,312,629.2,1.19,1,no
35,no,no,0,53.81,339,565.8,2.4,2,no
88,no,no,0,36.04,286,469.6,3.73,2,no
65,no,no,0,67.46000000000001,328,698.0,0.73,1,no
123,no,no,0,65.94,299,673.1,2.08,3,no
126,no,yes,27,51.209999999999994,300,452.29999999999995,2.59,2,no
45,no,yes,22,67.39,284,673.0999999999999,3.21,0,no
93,yes,no,0,73.82999999999998,283,659.0,2.84,0,yes
63,yes,yes,36,67.48,313,687.9,2.97,1,no
100,no,no,0,61.120000000000005,344,601.0,3.65,3,no
53,no,no,0,54.37,297,543.4000000000001,2.94,0,no
92,yes,no,0,60.35,362,646.5999999999999,2.43,1,no
139,no,no,0,49.52,329,539.3000000000001,2.75,5,yes
110,no,yes,40,55.11,329,556.3,2.43,2,no
110,no,no,0,38.39,316,467.5,2.65,3,no
215,no,no,0,34.69,349,431.1,2.89,0,no
138,no,no,0,53.73,293,503.8,3.48,0,no
137,yes,no,0,44.41,278,492.29999999999995,3.32,2,yes
85,no,no,0,62.03,254,596.2,1.92,3,no
22,no,no,0,42.0,296,479.1,2.57,0,no
107,no,yes,37,30.67,288,424.0,3.0,0,no
51,no,no,0,61.99,218,647.9,2.75,0,no
94,no,no,0,59.18,280,630.1,2.48,4,no
33,no,yes,29,49.34,258,554.5,3.75,4,yes
106,no,no,0,58.59,343,571.7,3.89,4,no
86,no,yes,41,50.44,293,585.9,2.57,0,no
97,yes,no,0,55.66,280,595.0,2.94,0,no
106,no,yes,32,54.38999999999999,305,555.5,3.81,4,no
108,no,no,0,48.63,331,542.5,2.65,1,no
114,no,no,0,44.34,299,528.0,3.92,1,no
92,yes,no,0,35.97,317,464.9,2.81,1,yes
59,no,no,0,53.99999999999999,282,559.9,2.35,1,no
24,no,yes,25,56.22,270,605.4000000000001,1.81,1,no
151,no,no,0,45.11,261,501.5,4.16,1,no
117,no,no,0,50.65,307,539.8,3.11,1,no
78,no,no,0,58.26,319,630.5,3.38,1,no
155,no,no,0,67.74,253,603.5,2.24,2,no
114,no,yes,30,70.27,253,757.8,3.08,1,no
114,no,yes,28,65.25999999999999,311,651.2,2.27,4,no
119,no,no,0,49.88,265,572.7,3.65,3,no
118,yes,no,0,50.43,318,520.2,2.67,2,no
101,no,no,0,65.49,322,681.4,3.94,0,no
117,no,no,0,47.24,308,515.6,2.08,1,no
49,no,yes,28,65.72,285,655.8,2.16,3,no
139,no,no,0,61.84,301,630.4000000000001,3.51,3,no
92,no,yes,28,53.01,283,585.0999999999999,2.7,1,no
148,yes,no,0,64.04,272,630.2,3.0,0,no
144,no,yes,48,52.400000000000006,269,527.4000000000001,1.76,2,yes
131,no,yes,25,63.39999999999999,249,672.8,2.94,2,no
146,yes,no,0,63.39,339,646.2,2.84,3,no
143,no,no,0,52.55,324,534.5,3.51,2,no
81,no,no,0,60.36,272,602.6,2.81,2,no
48,no,yes,37,56.06,279,515.7,3.29,1,no
145,no,yes,24,51.349999999999994,300,575.3,4.21,2,no
137,no,no,0,54.720000000000006,308,528.9,2.38,2,no
137,no,no,0,65.84,258,705.1,3.92,2,no
167,no,no,0,58.019999999999996,249,595.2,3.81,0,no
89,no,no,0,87.88,298,876.9,1.43,1,yes
199,no,yes,34,71.32000000000001,314,749.3,2.16,0,no
132,no,no,0,33.52,314,353.7,2.62,0,no
94,no,no,0,53.199999999999996,332,517.8,1.59,1,no
96,no,yes,18,52.38,269,565.6,2.65,1,no
166,no,no,0,59.76,376,600.9000000000001,2.57,1,no
74,no,no,0,42.03,235,475.79999999999995,2.73,2,no
36,no,no,0,53.28,274,582.3,3.21,0,no
113,no,no,0,64.55000000000001,337,641.3,1.78,4,no
67,no,no,0,47.36,272,477.5,3.21,2,no
127,no,no,0,77.15,393,738.6000000000001,1.59,1,yes
158,no,no,0,62.57,309,691.6,2.46,1,no
136,no,no,0,46.830000000000005,284,559.7,2.78,1,no
196,no,no,0,68.78,293,656.6,2.46,2,no
113,no,no,0,78.7,334,754.4000000000001,2.3,1,yes
122,no,no,0,74.68,295,645.1,3.08,4,yes
112,no,no,0,57.48,290,568.1,3.08,0,no
209,no,no,0,68.84,294,669.0999999999999,2.4,3,no
62,no,no,0,72.94,305,734.4,3.56,1,yes
110,no,yes,38,65.08,296,615.7,2.62,1,no
16,no,no,0,59.26,226,595.2,2.94,0,no
73,no,no,0,49.06,335,579.4,2.65,0,no
128,no,no,0,50.19,317,585.0,5.1,0,no
39,no,no,0,41.879999999999995,324,490.5,3.35,1,no
103,no,yes,28,50.769999999999996,281,551.9,2.08,2,no
119,no,yes,29,48.5,256,522.2,2.05,3,no
86,no,no,0,64.93,254,722.9,1.67,0,no
114,no,yes,32,46.85,273,535.4,3.48,1,no
104,no,no,0,55.99,294,630.5,2.7,0,no
148,no,no,0,46.95,317,584.5,3.05,1,no
129,no,no,0,59.39,324,607.0,3.62,3,no
100,no,yes,30,35.51,329,430.6,1.92,0,no
121,no,yes,35,38.34,206,475.29999999999995,3.08,1,no
143,no,yes,33,67.71,316,631.0,2.57,1,no
76,no,no,0,60.64,312,603.8,3.38,0,no
158,no,no,0,58.92,282,525.5,3.89,0,no
116,no,no,0,65.12,327,635.2,2.13,3,no
54,no,no,0,76.36,268,718.6999999999999,2.57,1,yes
86,no,no,0,44.790000000000006,366,463.79999999999995,3.29,7,yes
108,no,no,0,60.56,264,640.0,2.51,0,no
151,no,yes,17,55.879999999999995,231,522.3,2.32,1,no
99,no,no,0,59.5,251,610.9,2.86,0,no
55,no,no,0,61.64,367,673.5,1.89,2,no
78,no,no,0,63.1,296,599.8,3.94,0,no
89,no,no,0,63.04,260,652.2,2.46,1,yes
44,no,yes,34,61.7,252,611.2,3.78,0,no
98,no,yes,21,36.97,268,485.5,0.0,2,no
64,no,yes,37,40.84,294,403.9,3.59,1,no
141,no,no,0,65.53999999999999,370,574.4,1.94,3,no
81,no,yes,33,49.69,308,545.9000000000001,3.29,1,no
162,no,no,0,59.089999999999996,327,562.5,2.84,1,no
83,no,yes,41,46.04,334,445.80000000000007,3.54,3,no
59,no,no,0,58.78,299,617.1,3.05,4,no
179,yes,yes,38,68.02000000000001,234,691.7,2.73,4,no
79,no,no,0,45.269999999999996,331,425.79999999999995,1.43,1,no
117,no,no,0,57.47,265,590.6,3.97,2,no
64,yes,no,0,67.46,259,648.9,3.56,2,yes
122,no,yes,23,47.63999999999999,313,483.9,2.3,2,no
90,no,yes,29,56.05,309,593.1999999999999,1.57,1,no
159,yes,no,0,78.49,262,752.3,2.38,1,yes
148,no,no,0,47.81,263,557.1,3.05,0,no
39,no,yes,36,53.830000000000005,365,596.1,3.24,1,no
77,no,no,0,61.800000000000004,361,642.8,3.05,2,no
194,no,no,0,54.39,287,568.1,2.94,0,no
112,no,no,0,61.1,334,586.0,2.46,4,no
45,no,no,0,46.31,335,586.6,4.86,1,no
132,no,no,0,40.52,361,462.3,2.05,1,no
135,no,no,0,62.64,277,631.2,2.78,1,no
56,no,no,0,62.57000000000001,303,645.1,2.86,2,no
151,yes,no,0,58.89,240,601.5999999999999,3.35,0,yes
32,no,no,0,55.09,302,562.0,4.0,2,no
87,no,yes,21,57.730000000000004,309,528.5,2.86,0,no
138,no,no,0,47.5,314,476.6,3.02,2,no
79,no,no,0,63.370000000000005,337,646.3,1.81,1,no
95,yes,no,0,61.42,285,650.6,3.11,1,yes
127,no,no,0,61.720000000000006,309,614.8,1.84,2,no
137,no,no,0,67.24,261,651.7,3.97,3,no
97,no,no,0,49.78,315,547.0,3.97,1,no
149,yes,no,0,53.510000000000005,260,570.7,1.54,0,no
117,yes,yes,22,70.9,284,744.3000000000001,1.0,1,no
84,no,no,0,56.580000000000005,297,594.5,1.94,2,no
137,no,no,0,67.07,303,655.3,2.89,4,no
54,no,no,0,58.92,238,542.8,2.3,1,no
85,no,no,0,46.980000000000004,339,520.4,2.89,1,no
43,no,no,0,59.00999999999999,316,626.9000000000001,3.0,1,no
35,no,no,0,49.489999999999995,335,576.9,2.35,0,no
98,no,no,0,60.57000000000001,359,615.5,3.35,5,no
112,no,no,0,62.709999999999994,267,608.0,2.54,2,no
16,no,no,0,63.99000000000001,277,601.5,2.92,0,yes
98,no,yes,22,60.09,274,479.30000000000007,2.62,0,no
84,no,no,0,50.36,359,498.7,2.3,1,no
66,no,no,0,56.620000000000005,277,589.0,2.86,1,yes
74,no,no,0,57.81,330,572.0,2.86,0,no
96,no,yes,26,48.559999999999995,293,503.1,2.67,1,no
119,no,no,0,58.980000000000004,341,546.6,3.02,1,no
92,yes,no,0,67.55,279,623.8000000000001,2.51,0,no
21,no,no,0,45.27,265,503.1,1.84,0,no
122,no,no,0,51.3,315,539.2,2.3,4,yes
133,yes,no,0,49.08,277,513.6,2.78,1,no
145,no,no,0,56.209999999999994,335,551.9,1.3,2,no
25,no,no,0,51.54,261,523.0,2.27,2,no
64,no,no,0,40.85,262,472.4,2.81,2,no
85,no,no,0,72.37,274,670.9000000000001,1.46,0,no
76,no,no,0,49.23,256,512.9,2.7,0,no
224,yes,no,0,52.32,304,543.9,1.35,1,yes
117,no,no,0,65.07,283,624.2,2.65,0,no
128,no,yes,34,51.519999999999996,233,576.4000000000001,4.32,1,no
115,no,no,0,68.66,277,723.6,2.03,2,no
141,no,yes,28,65.37,376,643.0999999999999,2.51,2,no
51,no,no,0,62.629999999999995,320,513.3,4.13,1,no
100,no,no,0,67.58999999999999,281,684.2,3.38,0,no
96,no,yes,45,66.09,303,652.7,2.78,3,no
112,no,yes,16,57.74,341,551.8,3.05,1,no
129,yes,no,0,57.790000000000006,362,583.5999999999999,2.94,1,no
163,no,no,0,38.56,334,416.0,3.38,1,no
67,no,yes,40,46.0,286,538.6,2.59,1,no
140,no,no,0,55.59,325,579.3,3.02,3,no
49,no,no,0,53.18,314,607.1,3.35,2,no
46,no,no,0,73.47999999999999,294,705.9000000000001,3.59,2,yes
148,no,no,0,62.48,306,641.9000000000001,3.08,1,no
112,no,no,0,68.52,268,684.7,3.46,1,no
78,no,no,0,48.25,332,485.9,3.19,2,no
61,no,yes,31,75.54,252,695.7,2.32,0,no
58,no,yes,29,58.37,279,523.5,3.02,1,no
100,no,no,0,72.16,276,674.2,2.24,0,yes
113,no,no,0,62.97,322,675.0,3.65,1,no
81,no,no,0,51.830000000000005,287,549.6,1.7,2,no
135,no,yes,27,70.63,352,673.2,3.32,1,no
99,no,no,0,55.54,255,566.7,3.35,0,no
135,no,no,0,64.87,359,589.1,3.4,1,no
85,yes,no,0,60.49,343,710.5999999999999,2.59,2,no
88,no,no,0,51.63,364,553.4,2.59,3,no
55,no,no,0,68.84,343,614.0,1.86,2,no
79,no,yes,21,69.97,289,640.5,1.7,4,no
85,no,no,0,53.89,307,601.3,3.38,0,no
86,no,yes,23,70.34,293,717.5,2.65,0,no
91,no,no,0,57.879999999999995,314,654.3,2.24,0,no
149,no,yes,20,65.68,241,663.5999999999999,3.86,1,no
97,no,no,0,76.89,326,753.0,3.0,1,yes
88,no,no,0,73.1,351,670.7,4.0,1,yes
60,no,no,0,42.09,226,502.29999999999995,2.51,2,no
54,no,no,0,54.82,233,539.5,2.62,2,no
109,no,no,0,48.43000000000001,325,458.09999999999997,2.97,0,no
90,no,no,0,69.41,323,619.0,2.59,1,no
115,no,no,0,58.04,316,676.0,2.59,3,no
144,no,yes,18,36.660000000000004,333,422.9,2.73,1,no
91,no,no,0,51.949999999999996,251,609.5,1.59,0,no
71,yes,no,0,52.739999999999995,318,528.1,3.67,3,yes
132,no,yes,36,65.54,330,666.5999999999999,2.84,3,yes
41,no,yes,34,61.93,288,609.5,4.64,2,no
44,no,no,0,65.67,335,645.5999999999999,2.86,1,no
78,no,no,0,41.81,286,499.7,2.57,3,no
149,no,no,0,31.52,270,387.1,1.7,1,no
72,no,yes,33,50.580000000000005,274,575.3,1.67,4,yes
139,no,yes,20,63.78999999999999,365,612.5,4.0,0,no
141,no,yes,23,49.17,345,532.5,2.05,3,no
140,no,no,0,52.699999999999996,356,608.9000000000001,2.19,1,no
99,no,no,0,58.029999999999994,301,620.0,3.02,2,no
166,no,no,0,57.459999999999994,256,547.5,3.13,1,no
124,no,no,0,53.11000000000001,320,593.9,1.43,1,no
74,no,no,0,52.809999999999995,276,586.8,2.19,0,no
117,no,no,0,56.82,297,618.7,3.59,2,no
85,no,no,0,67.53,308,677.3,2.97,3,no
36,no,yes,16,42.56999999999999,311,413.90000000000003,1.81,0,no
102,yes,no,0,65.2,340,602.3,3.46,0,no
76,no,no,0,70.57,344,741.1,2.84,0,no
165,no,no,0,69.39999999999999,317,681.1,0.0,1,no
130,no,no,0,53.54,294,567.2,3.32,1,no
55,yes,no,0,63.56,302,651.7,3.86,1,yes
92,yes,no,0,55.36,333,635.5,2.54,2,yes
129,no,yes,33,55.87,367,661.6999999999999,1.59,2,no
18,no,no,0,67.53,329,638.8000000000001,2.21,1,no
161,yes,no,0,49.949999999999996,292,516.0,3.0,2,no
75,yes,no,0,52.82000000000001,243,492.79999999999995,2.62,4,yes
126,no,yes,23,46.43,316,545.0,3.4,3,no
93,yes,no,0,64.48,291,646.0,4.73,1,yes
109,yes,yes,26,61.92,325,643.4,2.51,0,no
80,no,no,0,60.1,277,624.8000000000001,3.35,0,no
41,no,no,0,49.57,217,547.1,3.0,1,no
136,no,yes,31,54.69,273,607.5,3.08,2,no
92,no,no,0,67.17,327,771.8,1.51,3,yes
143,no,yes,24,61.160000000000004,323,643.5,3.13,1,no
118,no,yes,26,53.64,337,540.0,2.59,5,yes
193,no,yes,17,47.56,312,532.0,3.32,1,no
73,no,no,0,64.03,282,623.8,4.0,3,no
62,no,no,0,57.629999999999995,288,618.4000000000001,2.46,2,no
30,no,yes,30,65.35000000000001,264,658.4000000000001,1.78,0,no
60,yes,yes,29,68.4,289,589.8,3.78,0,yes
96,no,no,0,51.01,308,587.9,2.05,2,no
52,no,no,0,55.53,320,496.69999999999993,2.54,2,no
87,no,no,0,55.32,291,562.4,3.48,1,no
41,no,no,0,52.67,293,470.20000000000005,2.43,3,no
112,no,no,0,63.46,300,546.8,3.13,1,no
88,no,no,0,36.96,244,474.29999999999995,2.21,4,yes
122,no,yes,27,71.18,316,673.4,2.48,7,no
61,no,no,0,27.389999999999997,276,349.20000000000005,2.65,2,no
87,no,no,0,56.959999999999994,349,470.7,3.51,1,no
30,no,no,0,62.8,322,601.5999999999999,3.38,0,no
95,no,yes,22,30.18,307,438.5,3.21,0,no
46,no,no,0,43.559999999999995,348,481.40000000000003,2.32,2,no
100,yes,no,0,49.53,324,610.8,3.27,0,no
77,no,no,0,56.83,267,615.5,1.81,2,no
98,no,yes,38,67.19,238,674.4,2.89,2,no
125,no,yes,36,43.47,299,369.2,1.46,1,no
194,no,no,0,41.95,326,548.0,4.91,1,no
190,no,yes,22,49.309999999999995,287,470.5,2.3,0,no
165,no,no,0,63.15,353,632.0999999999999,3.35,0,no
59,no,no,0,46.529999999999994,330,541.9,2.67,2,no
47,no,yes,28,43.41,286,422.8,2.11,1,no
150,no,yes,29,55.5,242,509.79999999999995,1.78,0,no
152,yes,yes,20,73.85,294,756.0999999999999,3.83,9,yes
26,no,no,0,66.89,332,642.6,0.95,3,no
79,no,yes,31,41.629999999999995,317,422.5,3.29,3,no
95,no,yes,27,55.24,311,646.4,3.21,1,no
69,yes,no,0,76.4,299,699.5,2.27,2,yes
95,yes,yes,41,46.349999999999994,219,471.3,2.78,5,yes
31,no,yes,31,49.44,282,601.4,1.59,0,no
121,no,yes,31,66.64,265,639.4,2.73,4,no
44,no,no,0,79.57,294,738.5,2.75,3,yes
74,no,yes,25,51.169999999999995,262,490.0,3.54,2,no
58,no,yes,20,61.88,291,644.8,2.57,1,no
74,no,no,0,62.53,313,682.8,2.24,2,yes
125,no,no,0,47.9,316,576.7,2.08,2,no
80,no,no,0,58.480000000000004,300,642.7,2.89,1,no
99,no,yes,28,64.35,306,637.5999999999999,2.46,1,no
99,no,no,0,43.5,295,474.7,2.94,1,no
66,no,yes,29,71.3,307,718.3,2.16,2,no
97,no,no,0,57.48,278,523.0,1.27,3,no
75,no,yes,37,54.92,304,641.5999999999999,3.05,2,no
85,yes,no,0,59.339999999999996,288,551.3,0.97,2,no
108,no,no,0,69.94,276,597.5,2.7,2,no
51,no,no,0,56.019999999999996,314,565.5999999999999,2.78,1,no
186,no,yes,26,41.03,313,547.9000000000001,3.92,2,no
44,yes,no,0,40.21,282,476.0,2.92,1,no
64,no,yes,31,67.5,321,644.2,2.43,3,no
44,no,no,0,74.87,277,784.4000000000001,2.67,2,yes
114,no,yes,36,77.97000000000001,284,693.7,3.83,1,no
110,no,no,0,47.06999999999999,324,469.8,3.16,2,no
90,no,yes,30,57.25,295,557.6,2.08,1,no
72,no,yes,21,68.64,313,708.9000000000001,4.46,1,no
113,no,no,0,76.19,380,802.7,2.0,1,yes
171,no,yes,25,60.3,285,557.2,2.75,3,no
104,no,no,0,48.720000000000006,316,488.5,2.89,1,no
165,no,no,0,56.019999999999996,261,655.2,2.78,1,no
104,no,no,0,73.0,299,711.1999999999999,2.65,0,yes
110,no,no,0,32.43,334,420.7,2.75,1,no
90,yes,no,0,64.74000000000001,385,641.4000000000001,2.27,1,no
